player,prediction,assessment,final
Albert Connell,12.474307550716633,16.06,10.47
Amani Toomer,10.728213800716633,9.683333333333332,13.61
Andre Hastings,4.763370050716633,2.6399999999999997,6.959999999999999
Andre Reed,8.387393488216633,7.219999999999999,5.5
Antonio Freeman,12.356143488216633,14.360000000000003,10.84
Bill Schroeder,10.708682550716633,11.760000000000002,10.118181818181817
Bobby Engram,8.545596613216633,6.183333333333334,12.670000000000002
Carl Pickens,8.330752863216633,7.433333333333334,9.184
Corey Bradford,7.106143488216633,7.039999999999999,8.333333333333332
Cris Carter,10.628604425716633,10.799999999999999,20.25555555555555
Darnay Scott,11.367862238216633,10.05,13.1
David Boston,6.806827081966633,5.116666666666667,5.177777777777778
Dedric Ward,7.229678644466633,6.983333333333333,3.5
Derrick Mayes,9.486026300716633,10.040000000000001,12.37
Ed McCaffrey,10.895205988216633,14.766666666666666,10.077777777777778
Eddie Kennison,10.734073175716633,11.48,7.509090909090909
Eric Moulds,11.368838800716633,13.066666666666668,11.7
Ernie Mills,6.590518488216633,4.34,4.283333333333334
Frank Sanders,10.449893488216633,7.866666666666667,9.966666666666665
Ike Hilliard,9.366885675716633,10.116666666666665,9.45
Isaac Bruce,13.602237238216633,21.299999999999997,12.370000000000001
J.J. Stokes,6.091983331966633,3.4166666666666665,6.377777777777777
Jacquez Green,5.372989191341633,3.0799999999999996,9.863636363636362
Jake Reed,8.187198175716633,8.366666666666667,6.871428571428571
James Jett,7.026065363216633,6.0,5.633333333333334
Jerry Rice,9.643741144466633,8.266666666666667,9.82
Jimmy Smith,12.050479425716633,12.149999999999999,18.270000000000003
Justin Armour,6.960147394466633,6.68,7.862500000000001
Keenan McCardell,9.860538019466633,8.583333333333334,10.66
Keith Poole,8.034854425716633,9.16,9.22
Kevin Dyson,10.798526300716633,12.016666666666667,4.499999999999999
Kevin Johnson,9.500674738216633,10.416666666666666,11.45
Kevin Lockett,6.126651300716633,3.84,5.925
Keyshawn Johnson,12.490909113216633,13.31666666666667,13.02
Marcus Robinson,9.235049738216633,9.65,17.81
Marvin Harrison,16.40301848821663,23.24,16.181818181818183
Michael Westbrook,11.971377863216633,16.740000000000002,11.218181818181819
Muhsin Muhammad,13.056338800716633,16.020000000000003,13.919999999999998
O.J. McDuffie,9.769229425716633,9.5,4.8
Qadry Ismail,9.480166925716633,8.3,12.672727272727274
Randy Moss,11.734073175716633,15.033333333333333,16.648
Rocket Ismail,11.684268488216633,14.580000000000002,11.618181818181819
Sean Dawkins,7.894229425716633,8.040000000000001,11.636363636363637
Shawn Jefferson,7.913272394466633,7.966666666666666,8.666666666666666
Terance Mathis,10.614932550716633,9.783333333333333,11.94
Terrell Owens,9.845401300716633,11.440000000000001,7.800000000000001
Terry Glenn,14.758487238216633,18.020000000000003,9.887500000000001
Terry Mickens,4.628604425716633,2.42,3.142857142857143
Tim Brown,11.344424738216633,11.783333333333333,14.51
Tony Martin,11.669620050716633,13.88,9.72
Willie Jackson,6.645205988216633,5.1,4.1
Yancey Thigpen,11.543643488216633,14.339999999999998,6.8199999999999985
Albert Connell,7.769717706966633,6.966666666666666,10.27142857142857
Amani Toomer,8.917666925716633,7.666666666666668,15.750000000000004
Antonio Freeman,9.695010675716633,11.35,11.844444444444445
Az-Zahir Hakim,8.690127863216633,9.16,7.200000000000001
Bill Schroeder,9.518252863216633,10.879999999999999,10.110000000000001
Charles Johnson,8.528995050716633,8.65,9.344444444444445
Cris Carter,9.989932550716633,9.08,16.545454545454543
Darrell Jackson,8.419131769466633,8.316666666666666,7.9799999999999995
David Boston,12.044620050716633,14.940000000000001,10.663636363636364
David Patten,8.628116144466633,8.3,6.016666666666667
Dedric Ward,8.381045831966633,7.4799999999999995,8.181818181818182
Dennis Northcutt,5.487491144466633,3.6,4.822222222222222
Donald Driver,6.432803644466633,5.3,3.228571428571428
Donald Hayes,10.095401300716633,11.98,8.169999999999998
Ed McCaffrey,11.654971613216633,12.566666666666668,16.08
Eddie Kennison,6.853213800716633,6.166666666666667,6.459999999999999
Eric Moulds,12.573916925716633,13.279999999999998,13.236363636363636
Frank Sanders,10.895205988216633,12.600000000000001,6.8090909090909095
Herman Moore,6.530459894466633,5.08,5.7375
Hines Ward,7.266788019466633,5.5,8.666666666666666
Ike Hilliard,10.399112238216633,11.766666666666667,10.687499999999998
Irving Fryar,6.981631769466633,5.8500000000000005,8.975
Isaac Bruce,13.846377863216633,21.080000000000002,12.572727272727274
Jacquez Green,9.946963800716633,10.333333333333334,5.344444444444445
James McKnight,8.274600519466633,7.74,8.989999999999998
James Thrash,6.097354425716633,4.959999999999999,9.3
Jeremy McDaniel,7.836612238216633,9.64,4.999999999999999
Jerome Pathon,8.689639581966633,8.26,6.660000000000001
Jerry Rice,9.753604425716633,11.049999999999999,8.95
Joe Horn,12.644229425716633,14.919999999999998,14.127272727272727
Keenan McCardell,13.995791925716633,14.950000000000001,10.2
Kevin Johnson,6.976748956966633,5.2,6.311999999999999
Keyshawn Johnson,9.030948175716633,7.45,12.27
Leslie Shepherd,6.501163019466633,5.460000000000001,8.442857142857141
Mac Cody,4.855655206966633,2.4200000000000004,1.657142857142857
